,path length,curvature cost,pathing time,planning time,map,Position Deviation Weight
1,96.001543219937,1.1879705526655602,160.90000000000003,19.157252550125122,1,0.2
1,57.62012441991071,0.8336950800051782,103.20000000000002,51.066810607910156,2,0.2
2,91.62346474637742,1.5223347585809228,158.8,17.525945901870728,1,0.4
2,57.41770599772059,0.7038157811872082,97.80000000000003,15.073005437850952,2,0.4
3,95.25312629552312,1.583592070010459,175.6,14.818864345550537,1,0.6
3,55.4865814060115,0.720736586704983,97.80000000000004,14.390057802200317,2,0.6
4,96.63979281103174,1.673391345101275,173.8,17.077481031417847,1,0.8
4,56.96672233356773,0.8566670947643814,97.80000000000003,12.165041208267212,2,0.8
5,96.06111673160456,1.4931143922976788,165.0,15.757036209106445,1,1.0
5,57.143293012634764,1.4983200640926406,108.70000000000002,13.17228364944458,2,1.0
6,96.75132623248788,1.6405900608098372,176.89999999999998,18.883711099624634,1,1.2
6,56.78386144876387,0.8822128714950485,95.90000000000002,21.990402698516846,2,1.2
7,95.98168920099481,1.702944102308707,174.00000000000006,18.847942113876343,1,1.4
7,55.94249622303078,1.4122141358367934,103.30000000000005,13.336777687072754,2,1.4
8,97.45535223849342,1.9101782167206474,180.4000000000001,17.112159252166748,1,1.6
8,58.69931501225036,1.0125435883149088,102.70000000000003,12.400781154632568,2,1.6
9,94.66864684946506,1.8231675381697556,174.29999999999995,16.45254349708557,1,1.8
9,56.51358127219313,1.149845108188548,105.50000000000004,15.80549669265747,2,1.8
10,98.06275513572655,1.92089443539462,192.99999999999997,19.084762811660767,1,2.0
10,58.57158200613294,0.9666008068129543,103.60000000000004,24.905622005462646,2,2.0
