,path length,curvature cost,pathing time,planning time,map,search radius
1,108.93607474212475,11.333904936293578,375.9,6.297942161560059,1,1.1
1,61.34840003150485,5.188087020816152,208.40000000000006,6.059290647506714,2,1.1
2,100.40508000917825,6.4049850398886345,289.40000000000015,7.383694887161255,1,1.2
2,59.09778692681994,3.9913230742151162,172.00000000000009,6.026055812835693,2,1.2
3,97.73080380746303,5.029354499551797,250.50000000000003,8.936222314834595,1,1.3
3,57.934851843914494,3.436072406732845,146.10000000000005,25.32374095916748,2,1.3
4,96.2616325614065,3.1387934402407454,225.3,9.438058614730835,1,1.4
4,60.379254124166316,2.2869957191714514,137.50000000000003,11.377585411071777,2,1.4
5,97.88884380079803,3.7644478676504267,228.8000000000001,9.588298082351685,1,1.5
5,59.938357758087164,1.678246667524257,131.40000000000003,8.660465717315674,2,1.5
6,96.62040366734483,2.7988007481947736,196.79999999999995,12.765465259552002,1,1.6
6,57.51221744122812,1.3715307333599596,119.30000000000001,7.719475984573364,2,1.6
7,96.03283468599479,2.1922912301163495,190.10000000000005,11.644281148910522,1,1.7
7,56.27827891887625,1.941779780476132,113.60000000000005,9.935275793075562,2,1.7
8,96.09695005670173,1.8698057612213947,185.3,12.947060585021973,1,1.8
8,56.76075778194523,1.2840186488485505,104.8,11.431161403656006,2,1.8
9,94.46615509331293,1.4386783659922235,166.79999999999995,13.867446184158325,1,1.9
9,56.08915291211484,0.9466093128938844,99.20000000000005,10.54443097114563,2,1.9
10,94.58739033222632,1.302967766742805,169.20000000000005,17.3064386844635,1,2.0
10,57.38009407723104,1.1023602737889748,100.10000000000007,12.581369400024414,2,2.0
